"","key","mean","sd","max","min"
"1","NGT_mm12_10591.CI2002061312AA",6.65997898455386,1.51640441948355,13.1619663887146,1.53605290024021
"2","NGT_mm14_10600.CI2002061814AA",6.68723079438899,1.6554786035362,13.8299704293164,0.327687364176047
"3","NGT_mm15_10664.CI2002061815AA",6.7175323427228,1.59940241991598,13.7381556084217,1
"4","NGT_mm20_10597.CI2002061820AA",6.73761012823001,1.6204484433222,13.5452299646679,0.0786098346963665
"5","NGT_mm36_10178.CI2002061336AA",6.68120384879248,1.65721462096154,13.9658834665368,-0.880179047878125
"6","NGT_mm37_10587.CI2002061837AA",6.7297708611697,1.57199105413973,13.0579240525492,0.564622052436981
"7","NGT_mm48_10080.CI2002061848AA",6.68659886849025,1.70111714569273,14.4409794413446,-0.500626054997833
"8","NGT_mm50_10581.CI2002061350AA",6.48399847189448,2.03084438314272,15.7626908727902,-0.0784113335153081
"9","NGT_mm51_10588.CI2002061851AA",6.70437106464909,1.61118183899893,12.7776457353764,-0.444969198817792
"10","NGT_mm53_10590.CI2002061853AA",6.59333688531667,1.83065356158265,14.992389611288,0.214124805352847
"11","NGT_mm54_10571.CI2002061354AA",6.4636657645331,2.04182065607214,15.5726084566073,-0.342085657319624
"12","NGT_mm57_10578.CI2002061857AA",6.73226512104301,1.58794733739073,13.057839460323,0.589763486984977
"13","NGT_mm63_10589.CI2002061363AA",6.55033115254073,1.85101803083847,14.8754229997731,-0.784383522922788
"14","NGT_mm64_10968.CI2002061864AA",6.75556464114729,1.63079241431471,13.5092306751277,-0.501034345658797
"15","NGT_mm68_10586.CI2002061868AA",6.73701004263149,1.63024504945597,12.960852668471,0.511973981781801
"16","NGT_mm74_10969.CI2002061874AA",6.79006237303767,1.67403753668859,12.9224914904585,-0.369967366106233
"17","NGT_mm76_10748.CI2002061376AA",6.62834986664143,1.78036680320078,13.7347625350066,-0.324635687250854
"18","DM2_mm03_10179.CI2002061803AA",6.64431941498016,1.66825260462877,14.0146307658543,0.571434115876509
"19","DM2_mm05_10189.CI2002061805AA",6.52112229836583,1.88096266062023,15.1775168667873,0.166072675946706
"20","DM2_mm07_10201.CI2002061807AA",6.64930993126062,1.74729401487234,14.7195011260157,-0.203402245951694
"21","DM2_mm08_10204.CI2002061808AA",6.7379509087329,1.55478611967135,13.2344133001824,1.03984026453179
"22","DM2_mm10_10208.CI2002061810AA",6.66430516438206,1.69710750907708,14.2235040033328,0.800744623936778
"23","DM2_mm21_10126.CI2002061821AA",6.66756166856478,1.74365271268847,14.7603872993108,0.521050736900963
"24","DM2_mm28_10169.CI2002061828AA",6.69419791589244,1.60008214204425,13.1259784261721,0.923719678749389
"25","DM2_mm31_10186.CI2002061831AA",6.72880833688949,1.62154861912655,13.0462884616472,0.614474282837701
"26","DM2_mm32_10194.CI2002061832AA",6.6536707599706,1.61188966419122,13.2998662409459,-0.960159735468209
"27","DM2_mm34_10212.CI2002061834AA",6.70355272481776,1.62099539595705,13.7922920962771,0.675364312749146
"28","DM2_mm39_10122.CI2002061839AA",6.57840661613611,1.89303385593737,15.9218409370745,0.567545447643747
"29","DM2_mm47_10210.CI2002061847AA",6.6782328120913,1.65739787067525,13.8987525261648,-1.95735566259151
"30","DM2_mm55_10209.CI2002061855AA",6.728902879238,1.61389450652765,13.3958286422499,0
"31","DM2_mm61_10197.CI2002061861AA",6.62941063241522,1.73179810080904,14.2182832063055,0.0840642647884745
"32","DM2_mm62_10517.CI2002061862AA",6.74833623453362,1.61808070707445,13.6119123720358,-0.0908029370083126
"33","DM2_mm77_10131.CI2002061877AA",6.70920897604295,1.62677478775211,13.0733884685424,0.411426245726465
"34","DM2_mm81_10199.CI2002061881AA",6.46648457534003,2.0216429306187,15.7961207480014,-0.0978878206694321
